#,Name,Type 1,Type 2,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary
635,Hydreigon,Dark,Dragon,92,105,90,125,90,98,5,False
606,Beheeyem,Psychic,,75,75,75,125,95,40,5,False
58,Growlithe,Fire,,55,70,45,70,50,60,1,False
479,RotomWash Rotom,Electric,Water,50,65,107,105,107,86,4,False
61,Poliwhirl,Water,,65,65,65,50,50,90,1,False
560,Scrafty,Dark,Fighting,65,90,115,45,115,58,5,False
317,Swalot,Poison,,100,73,83,73,83,55,3,False
442,Spiritomb,Ghost,Dark,50,92,108,92,108,35,4,False
690,Skrelp,Poison,Water,50,60,60,60,60,30,6,False
411,Bastiodon,Rock,Steel,60,52,168,47,138,30,4,False
60,Poliwag,Water,,40,50,40,40,40,90,1,False
263,Zigzagoon,Normal,,38,30,41,30,41,60,3,False
574,Gothita,Psychic,,45,30,50,55,65,45,5,False
62,Poliwrath,Water,Fighting,90,95,95,70,90,70,1,False
302,SableyeMega Sableye,Dark,Ghost,50,85,125,85,115,20,3,False
361,Snorunt,Ice,,50,50,50,50,50,50,3,False
226,Mantine,Water,Flying,65,40,70,80,140,70,2,False
345,Lileep,Rock,Grass,66,41,77,61,87,23,3,False
550,Basculin,Water,,70,92,65,80,55,98,5,False
475,Gallade,Psychic,Fighting,68,125,65,65,115,80,4,False
